0.463867,0.803711,9.39518e-05
0.621582,0.76416,-0.0880432
0.727539,0.658203,-0.107117
0.784668,0.541016,-0.135727
0.812988,0.447266,-0.144043
0.581055,0.54834,0.0218391
0.561523,0.44165,-0.0494766
0.552246,0.53125,-0.0593185
0.555664,0.607422,-0.014019
0.477295,0.557617,0.0259781
0.455078,0.464355,-0.114899
0.467773,0.567383,-0.165863
0.491211,0.635742,-0.151062
0.383545,0.583008,0.00535965
0.364746,0.50293,-0.111237
0.384521,0.594238,-0.163727
0.406738,0.65918,-0.161591
0.303711,0.618652,-0.0214577
0.259277,0.524414,-0.047226
0.226318,0.465088,-0.0717545
0.2052,0.398438,-0.0874329
