label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
7,0.476074,0.584961,0.618164,0.538086,0.441406,0.5825199999999999,0.547363,0.5112300000000001,0.474854,0.488037,0.459473,0.429688,0.391602,0.404785,0.397705,0.4577640000000001,0.488281,0.34057600000000005,0.361084,0.416504,0.450928,0.800293,0.743164,0.612793,0.5043949999999999,0.440186,0.449707,0.309082,0.21228,0.13147,0.46582,0.304688,0.19519,0.0925293,0.523926,0.477051,0.5722659999999999,0.6308590000000001,0.596191,0.5844729999999999,0.652832,0.7016600000000001,7.54371e-05,-0.13931300000000002,-0.239716,-0.329285,-0.404053,-0.15419000000000002,-0.271912,-0.323181,-0.335999,-0.167542,-0.282288,-0.35430900000000004,-0.39917,-0.197144,-0.34668000000000004,-0.343323,-0.318604,-0.241241,-0.35614,-0.359192,-0.341492
1,0.487061,0.623047,0.674316,0.59082,0.495605,0.602539,0.592773,0.577148,0.5527340000000001,0.513672,0.5063479999999999,0.48877,0.464844,0.435059,0.431152,0.418945,0.401855,0.355957,0.35693400000000003,0.354248,0.34570300000000004,0.804199,0.768066,0.629883,0.529297,0.501953,0.46167,0.30004899999999995,0.192749,0.0947876,0.45874,0.287842,0.159058,0.0427246,0.482178,0.321289,0.203491,0.0946045,0.530762,0.395264,0.30542,0.213623,8.42661e-05,-0.156708,-0.234985,-0.30365,-0.369873,-0.113831,-0.176239,-0.22888200000000006,-0.265045,-0.0919342,-0.14679,-0.221405,-0.279694,-0.0881195,-0.161896,-0.235138,-0.285034,-0.0972748,-0.163422,-0.209656,-0.247955
5,0.486084,0.62793,0.72168,0.788574,0.8212889999999999,0.557617,0.6313479999999999,0.711426,0.779297,0.481934,0.5170899999999999,0.5874020000000001,0.658691,0.405518,0.37915,0.411133,0.458008,0.336914,0.261475,0.243896,0.249512,0.832031,0.7558590000000001,0.664551,0.574707,0.484375,0.516602,0.4265140000000001,0.388916,0.370361,0.4738770000000001,0.352783,0.267822,0.203003,0.470703,0.334229,0.237671,0.15551800000000002,0.505371,0.4113770000000001,0.348389,0.29370100000000005,9.38773e-05,-0.0272942,-0.07061,-0.131302,-0.204926,0.0867462,0.0292397,-0.0805664,-0.162048,0.0498199,0.0626373,0.030536700000000007,0.00214219,-0.00931263,0.0298691,0.026779200000000003,0.00693321,-0.0815582,-0.064621,-0.053215,-0.0517273
11,0.445068,0.625,0.732422,0.769043,0.783691,0.69043,0.718262,0.718262,0.7089840000000001,0.573242,0.593262,0.5976560000000001,0.599121,0.456543,0.471924,0.491455,0.5,0.338379,0.349609,0.380371,0.400146,0.81543,0.768066,0.6816409999999999,0.590332,0.5141600000000001,0.434082,0.31811500000000004,0.32495100000000005,0.33886700000000003,0.404297,0.325195,0.458984,0.55957,0.429199,0.354248,0.498291,0.59375,0.48999,0.437012,0.544922,0.611328,9.19402e-05,-0.119781,-0.24292,-0.357971,-0.478821,-0.213165,-0.386353,-0.539551,-0.639038,-0.228271,-0.426941,-0.4995729999999999,-0.539246,-0.262756,-0.4599,-0.524292,-0.548706,-0.29892,-0.453491,-0.5157470000000001,-0.560608
9,0.526367,0.6445310000000001,0.719238,0.679688,0.552246,0.59668,0.5825199999999999,0.5996090000000001,0.614746,0.496338,0.491943,0.536133,0.559082,0.408447,0.409668,0.4697270000000001,0.502441,0.33129899999999995,0.252686,0.205566,0.167603,0.8452149999999999,0.765137,0.618164,0.5063479999999999,0.467529,0.492188,0.372803,0.46167,0.5483399999999999,0.512695,0.414551,0.5253909999999999,0.608887,0.548828,0.478271,0.577637,0.655273,0.592773,0.479492,0.395752,0.310791,0.000100657,-0.0778198,-0.118484,-0.189972,-0.253754,0.0211525,-0.10536199999999997,-0.138397,-0.114975,0.00141859,-0.164795,-0.185089,-0.134506,-0.0498199,-0.207672,-0.210266,-0.152817,-0.114517,-0.16922,-0.200043,-0.209656
16,0.4577640000000001,0.600586,0.668457,0.678711,0.65625,0.458008,0.412354,0.393066,0.376221,0.362305,0.331787,0.4030760000000001,0.445068,0.280762,0.254639,0.338623,0.384766,0.207031,0.186401,0.255859,0.303223,0.8222659999999999,0.6938479999999999,0.534668,0.397461,0.284912,0.464111,0.351562,0.309814,0.296143,0.505371,0.391357,0.494629,0.580566,0.562012,0.47583,0.5795899999999999,0.650879,0.62793,0.549805,0.6054689999999999,0.656738,9.94653e-05,-0.12573199999999998,-0.180969,-0.231781,-0.272827,-0.0403595,-0.139694,-0.213318,-0.25405900000000003,-0.0345802,-0.23895300000000005,-0.334473,-0.336609,-0.0453949,-0.23407,-0.285645,-0.257721,-0.0657654,-0.217438,-0.255432,-0.234222
11,0.450439,0.5976560000000001,0.695801,0.763672,0.852051,0.539062,0.497314,0.456299,0.411865,0.435791,0.388184,0.419922,0.454834,0.34692399999999995,0.306152,0.35376,0.397705,0.268066,0.237549,0.280518,0.319092,0.817383,0.762695,0.616699,0.483154,0.389893,0.444824,0.296143,0.185669,0.0856934,0.474365,0.390869,0.536133,0.619629,0.5297850000000001,0.460205,0.597168,0.664551,0.59375,0.549316,0.644043,0.687988,9.26852e-05,-0.176697,-0.282898,-0.365601,-0.454712,-0.188599,-0.350342,-0.473022,-0.548401,-0.166168,-0.390015,-0.429993,-0.394592,-0.166626,-0.395203,-0.432129,-0.39978,-0.17486600000000002,-0.354004,-0.394897,-0.385742
15,0.48999,0.580566,0.596191,0.497314,0.4021,0.6035159999999999,0.56543,0.53125,0.4890140000000001,0.5214840000000001,0.5249020000000001,0.516113,0.494141,0.4426270000000001,0.4030760000000001,0.431152,0.452148,0.36792,0.342773,0.378418,0.4104,0.8261719999999999,0.7543949999999999,0.6054689999999999,0.488525,0.455322,0.475098,0.32324200000000003,0.220947,0.130249,0.47583,0.302979,0.185303,0.0924683,0.510742,0.406006,0.514648,0.594238,0.564453,0.493408,0.562988,0.621582,7.01845e-05,-0.118103,-0.177307,-0.225372,-0.26062,-0.032195999999999995,-0.0904846,-0.135651,-0.14915499999999998,-0.0261116,-0.0723267,-0.112991,-0.117645,-0.0377846,-0.139542,-0.149612,-0.114746,-0.0600433,-0.137939,-0.142059,-0.11261
5,0.5014649999999999,0.616699,0.694824,0.729004,0.710449,0.555664,0.584961,0.622559,0.659668,0.479248,0.493408,0.53418,0.583008,0.402344,0.384521,0.408691,0.447266,0.325928,0.263672,0.25317399999999995,0.26318400000000003,0.8378909999999999,0.7441409999999999,0.641602,0.541992,0.450928,0.526367,0.412598,0.400391,0.418213,0.515625,0.383057,0.333496,0.316895,0.530273,0.402344,0.333008,0.293457,0.5688479999999999,0.476318,0.419922,0.378418,9.96888e-05,-0.0445175,-0.0683212,-0.100174,-0.121155,0.0474548,-0.00727177,-0.0763321,-0.119019,0.0288963,0.00253201,-0.0408554,-0.0753403,-0.011892299999999998,-0.021019,-0.0569153,-0.0935364,-0.0636673,-0.0817108,-0.107727,-0.138931
10,0.4541020000000001,0.588379,0.637207,0.5820310000000001,0.519043,0.679688,0.72168,0.741211,0.7460939999999999,0.581055,0.581055,0.5717770000000001,0.553711,0.482666,0.4516600000000001,0.46875,0.476074,0.378906,0.376221,0.402588,0.412598,0.768066,0.654297,0.5058590000000001,0.363037,0.282227,0.428223,0.272217,0.16003399999999998,0.0626221,0.43042,0.24585,0.126221,0.0246735,0.466797,0.314209,0.424561,0.512695,0.520508,0.401367,0.4853520000000001,0.559082,7.33882e-05,-0.0434875,-0.0925446,-0.144958,-0.187225,-0.057640099999999986,-0.139389,-0.202942,-0.242462,-0.07530210000000001,-0.13183599999999998,-0.135193,-0.13206500000000002,-0.105743,-0.180664,-0.14328,-0.0970459,-0.14068599999999998,-0.1828,-0.154343,-0.122452
9,0.514648,0.643066,0.721191,0.68457,0.5581050000000001,0.599121,0.569336,0.585938,0.606445,0.497314,0.473633,0.519043,0.550293,0.405762,0.393066,0.450684,0.486816,0.322266,0.256348,0.223267,0.195923,0.856934,0.7617189999999999,0.6191409999999999,0.5063479999999999,0.471191,0.5,0.36377,0.427979,0.5063479999999999,0.5249020000000001,0.409668,0.5043949999999999,0.5878909999999999,0.5625,0.472412,0.5581050000000001,0.6342770000000001,0.6035159999999999,0.480713,0.387695,0.299316,9.79006e-05,-0.037612900000000005,-0.0615692,-0.11528,-0.17181400000000002,0.0306702,-0.07423400000000001,-0.101852,-0.0788879,0.00536442,-0.124893,-0.134201,-0.0907898,-0.043411300000000014,-0.167236,-0.159302,-0.108185,-0.0999451,-0.140305,-0.155869,-0.15976
8,0.573242,0.675293,0.669434,0.53418,0.409668,0.594727,0.515625,0.5429689999999999,0.580078,0.5039060000000001,0.412842,0.465088,0.508301,0.420898,0.36084,0.423828,0.455566,0.348389,0.269531,0.223511,0.166138,0.879883,0.7441409999999999,0.5683590000000001,0.4853520000000001,0.513672,0.487305,0.408691,0.512695,0.549316,0.53418,0.462158,0.578125,0.611328,0.5898439999999999,0.557617,0.663086,0.692871,0.643066,0.539551,0.4672850000000001,0.368408,9.24617e-05,-0.0601578,-0.115738,-0.192566,-0.216827,-0.000535846,-0.15976,-0.164185,-0.115204,-0.0203514,-0.192413,-0.158386,-0.06771089999999999,-0.07335660000000001,-0.214844,-0.155106,-0.07122039999999999,-0.144958,-0.192108,-0.209198,-0.205994
10,0.484863,0.598633,0.624512,0.5356449999999999,0.447266,0.609375,0.644043,0.665039,0.682129,0.507324,0.456543,0.431885,0.408203,0.422607,0.399658,0.456055,0.476562,0.349121,0.351562,0.399902,0.418457,0.7856449999999999,0.69043,0.530273,0.403809,0.34692399999999995,0.45459,0.287842,0.179199,0.0858154,0.4672850000000001,0.280029,0.161377,0.0583496,0.5195310000000001,0.40918,0.50293,0.5683590000000001,0.580078,0.497314,0.5766600000000001,0.6362300000000001,7.50646e-05,-0.0298691,-0.06877899999999999,-0.124283,-0.185089,0.0279999,-0.0291061,-0.0632095,-0.08026119999999999,-0.0131226,-0.046119699999999986,-0.07396699999999999,-0.0920105,-0.0693893,-0.151062,-0.15113800000000002,-0.133667,-0.130081,-0.194702,-0.187683,-0.172424
7,0.533203,0.642578,0.645996,0.551758,0.461426,0.578125,0.513184,0.456543,0.395996,0.488281,0.428955,0.382568,0.334961,0.416748,0.390625,0.464355,0.503418,0.364258,0.375488,0.445068,0.48877,0.817383,0.7172850000000001,0.573242,0.471436,0.424072,0.4582520000000001,0.316162,0.218994,0.139404,0.482422,0.307861,0.195923,0.0910034,0.543945,0.422607,0.507812,0.5742189999999999,0.619629,0.546387,0.601562,0.651367,8.38935e-05,-0.0619888,-0.102386,-0.147095,-0.183105,-0.0303459,-0.0971985,-0.144577,-0.17639200000000002,-0.0622559,-0.128403,-0.19455,-0.246735,-0.10643,-0.207367,-0.226288,-0.226746,-0.157471,-0.249939,-0.270081,-0.274353
