0.476318,0.707031,0.000104606
0.629395,0.562988,-0.142288
0.724121,0.431396,-0.209351
0.782715,0.303223,-0.26062
0.818359,0.19165,-0.322266
0.598633,0.347412,-0.114288
0.596191,0.360352,-0.291595
0.559082,0.399658,-0.399475
0.546875,0.416016,-0.441284
0.479492,0.363037,-0.0885773
0.467041,0.369141,-0.252533
0.439697,0.4104,-0.311737
0.437988,0.421875,-0.316772
0.37207,0.38501,-0.0924683
0.366699,0.365234,-0.223083
0.355469,0.387939,-0.261383
0.360352,0.391113,-0.266418
0.277344,0.417236,-0.111465
0.260742,0.361816,-0.180969
0.250977,0.314209,-0.211792
0.250732,0.258057,-0.217133
